mid,category,device,gold,silver,palladium,lead,mercury,cadmium,average_life
1,Large houseold Appliances,Refrigerator,0.003,0.01,0.003,0.02,0.01,0.002,10
2,Large houseold Appliances,Washing Machine,0.003,0.01,0.003,0.02,0.01,0.002,9
3,Large houseold Appliances,Air-conditioners,0.003,0.01,0.003,0.02,0.01,0.002,10
4,Large houseold Appliances,Large cooling appliances,0.003,0.01,0.003,0.02,0.01,0.002,10
5,Large houseold Appliances,Freezers,0.003,0.01,0.003,0.02,0.01,0.002,10
6,Large houseold Appliances,Dish Washing Machines,0.003,0.01,0.003,0.02,0.01,0.002,10
7,Large houseold Appliances,"Microwaves, Microwave Oven",0.003,0.01,0.003,0.02,0.01,0.002,10
8,Large houseold Appliances,Other large appliances used for cooking and other processing of food,0.003,0.01,0.003,0.02,0.01,0.002,10
9,Small Houseold Appliances,Fluorescent and other Mercury containing lamps,0.002,0.02,0.001,0.01,0.04,0.001,2
10,Small Houseold Appliances,LED BULBS/TUBES/CONSUMER LUMINARIES & CONSUMER LED DRIVES,0.002,0.02,0.001,0.01,0.04,0.001,4
11,Small Houseold Appliances,Clothes dryers,0.002,0.02,0.001,0.01,0.04,0.001,10
12,Small Houseold Appliances,"Grinders, coffee machines and equipment for opening or sealing containers or packages",0.002,0.02,0.001,0.01,0.04,0.001,10
13,Small Houseold Appliances,Electric cookers,0.002,0.02,0.001,0.01,0.04,0.001,7
14,Small Houseold Appliances,Electric stoves,0.002,0.02,0.001,0.01,0.04,0.001,7
15,Small Houseold Appliances,Electric hot plates,0.002,0.02,0.001,0.01,0.04,0.001,5
16,Small Houseold Appliances,Hair dryer,0.002,0.02,0.001,0.01,0.04,0.001,5
17,Small Houseold Appliances,Electric shaver,0.002,0.02,0.001,0.01,0.04,0.001,5
18,Small Houseold Appliances,Electric kettle,0.002,0.02,0.001,0.01,0.04,0.001,5
19,Small Houseold Appliances,"Other fanning, exhaust ventilation and conditioning equipment",0.002,0.02,0.001,0.01,0.04,0.001,10
20,Small Houseold Appliances,Electric fans,0.002,0.02,0.001,0.01,0.04,0.001,10
21,Small Houseold Appliances,Vacuum cleaners,0.002,0.02,0.001,0.01,0.04,0.001,10
22,Small Houseold Appliances,Carpet sweepers,0.002,0.02,0.001,0.01,0.04,0.001,10
23,Small Houseold Appliances,Other appliances for cleaning,0.002,0.02,0.001,0.01,0.04,0.001,10
24,IT and Telecommunication, Personal Computers,0.04,0.17,0.01,0.03,0.02,0.001,6
25,IT and Telecommunication,Laptop Computers,0.04,0.17,0.01,0.03,0.02,0.001,5
26,IT and Telecommunication,Notebook Computers,0.04,0.17,0.01,0.03,0.02,0.001,5
27,IT and Telecommunication,Notepad Computers,0.04,0.17,0.01,0.03,0.02,0.001,5
28,IT and Telecommunication,Printers including cartridges,0.04,0.17,0.01,0.03,0.02,0.001,10
